time,current
125414,0
125424,2
125434,2
125445,3
125455,0
125466,2
125476,0
125486,1
125497,0
125507,3
125518,3
125528,2
125538,1
125549,2
125559,0
125570,3
125580,2
125590,3
125601,2
125611,2
125621,2
125632,0
125642,2
125653,1
125663,1
125673,1
125684,0
125694,0
125705,0
125715,0
125725,1
125736,3
125746,3
125757,0
125767,1
125777,0
125788,1
125798,1
125809,1
125819,2
125829,2
125840,1
125850,1
125861,1
125871,3
125881,0
125892,1
125902,0
125912,1
125923,4
125933,2
125944,0
125954,2
125964,1
125975,1
125985,1
125996,0
126006,1
126016,0
126027,0
126037,0
126048,3
126058,1
126068,2
126079,2
126089,2
126100,3
126110,2
126120,2
126131,3
126141,1
126152,2
126162,0
126172,0
126183,1
126193,1
126204,1
126214,0
126224,1
126235,0
126245,1
126256,0
126266,1
126276,2
126287,2
126297,1
126308,1
126318,2
126328,1
126339,2
126349,0
126359,1
126370,0
126380,1
126391,1
126401,1
126411,1
126422,1
126432,2
126443,1
126453,1
126463,1
126474,1
126484,2
126495,2
126505,1
126515,3
126526,1
126536,3
126547,2
126557,1
126567,0
126578,0
126588,0
126599,1
126609,0
126619,1
126630,0
126640,3
126651,0
126661,1
126671,1
126682,1
126692,1
126703,1
126713,1
126723,0
126734,1
126744,3
126755,3
126765,1
126775,0
126786,1
126796,2
126807,0
126817,0
126827,1
126838,1
126848,1
126858,0
126869,3
126879,1
126890,3
126900,1
126910,0
126921,1
126931,0
126942,0
126952,1
126962,1
126973,0
126983,3
126994,1
127004,1
127014,1
127025,1
127035,2
127046,0
127056,1
127066,1
127077,1
127087,2
127098,1
127108,0
127118,2
127129,1
127139,9
127150,3
127160,1
127170,0
127181,1
127191,2
127202,1
127212,1
127222,1
127233,1
127243,1
127254,1
127264,1
127274,1
127285,1
127295,2
127306,2
127316,1
127326,0
127337,3
127347,0
127357,2
127368,1
127378,1
127389,1
127399,1
127409,2
127420,0
127430,0
127441,1
127451,1
127461,2
127472,0
127482,2
127493,3
127503,2
127513,1
127524,1
127534,0
127545,0
127555,2
127565,1
127576,3
127586,0
127597,1
127607,0
127617,1
127628,0
127638,1
127649,2
127659,2
127669,1
127680,0
127690,0
127701,1
127711,0
127721,1
127732,2
127742,2
127753,2
127763,1
127773,1
127784,3
127794,0
127805,2
127815,0
127825,1
127836,0
127846,1
127857,0
127867,0
127877,1
127888,1
127898,0
127908,2
127919,3
127929,3
127940,0
127950,0
127960,0
127971,1
127981,0
127992,0
128002,2
128012,0
128023,0
128033,1
128044,1
128054,0
128064,0
128075,1
128085,0
128096,0
128106,0
128116,0
128127,0
128137,3
128148,1
128158,2
128168,2
128179,1
128189,0
128200,0
128210,2
128220,3
128231,2
128241,2
128252,1
128262,1
128272,1
128283,0
128293,0
128304,1
128314,2
128324,1
128335,1
128345,1
128355,1
128366,1
128376,2
128387,0
128397,3
128407,2
128418,3
128428,0
128439,1
128449,0
128459,3
128470,4
128480,3
128491,2
128501,3
128511,2
128522,1
128532,1
128543,1
128553,1
128563,2
128574,0
128584,1
128595,1
128605,1
128615,2
128626,0
128636,1
128646,0
128657,3
128667,1
128678,2
128688,0
128698,2
128709,3
128719,1
128730,1
128740,1
128750,3
128761,2
128771,1
128782,0
128792,1
128802,2
128813,3
128823,1
128834,0
128844,1
128854,2
128865,1
128875,1
128886,3
128896,0
128906,2
128917,1
128927,1
128938,1
128948,0
128958,2
128969,1
128979,0
128989,2
129000,1
129010,0
129021,2
129031,0
129041,0
129052,1
129062,1
129073,2
129083,0
129093,0
129104,1
129114,1
129125,2
129135,2
129145,2
129156,1
129166,0
129177,2
129187,0
129197,2
129208,0
129218,1
129229,0
129239,1
129249,0
129260,1
129270,2
129281,2
129291,3
129301,2
129312,1
129322,2
129332,2
129343,2
129353,0
129364,1
129374,1
129384,2
129395,0
129405,0
129416,2
129426,2
129436,0
129447,2
129457,0
129468,1
129478,0
129488,0
129499,2
129509,0
129520,2
129530,2
129540,1
129551,1
129561,1
129572,1
129582,0
129592,1
129603,1
129613,0
129623,0
129634,0
129644,0
129655,3
129665,1
129675,2
129686,2
129696,1
129707,0
129717,3
129727,1
129738,0
129748,1
129759,1
129769,1
129779,0
129790,1
129800,3
129811,1
129821,3
129831,0
129842,2
129852,0
129863,2
129873,0
129883,1
129894,3
129904,1
129915,0
129925,2
129935,3
129946,0
129956,1
129966,0
129977,2
129987,1
129998,2
130008,1
130018,1
130029,1
130039,2
130050,1
130060,1
130070,0
130081,0
130091,2
130102,2
130112,0
130122,3
130133,1
130143,2
130154,1
130164,0
130174,1
130185,1
130195,0
130206,1
130216,2
130226,2
130237,0
130247,2
130257,2
130268,1
130278,2
130289,2
130299,0
130309,1
130320,1
130330,1
130341,2
130351,0
130361,2
130372,1
130382,2
130393,1
130403,1
130413,3
130424,0
130434,1
130445,0
130455,1
130465,1
130476,3
130486,0
130497,2
130507,2
130517,3
130528,3
130538,0
130549,1
130559,0
130569,1
130580,0
130590,3
130600,3
130611,2
130621,0
130632,1
130642,1
130652,0
130663,2
130673,1
130684,2
130694,1
130704,0
130715,2
130725,1
130736,1
130746,1
130756,2
130767,1
130777,0
130788,3
130798,0
130808,3
130819,2
130829,0
130840,2
130850,1
130860,1
130871,1
130881,2
130892,1
130902,1
130912,1
130923,2
130933,0
130943,1
130954,3
130964,0
130975,1
130985,3
130995,1
131006,4
131016,1
131027,2
131037,1
131047,3
131058,1
131068,2
131079,0
131089,0
131099,0
131110,1
131120,1
131131,1
131141,2
131151,1
131162,2
131172,1
131183,0
131193,1
131203,2
131214,1
131224,0
131234,1
131245,1
131255,1
131266,1
131276,2
131286,1
131297,2
131307,0
131318,1
131328,3
131338,2
131349,1
131359,0
131370,0
131380,0
131390,1
131401,1
131411,2
131422,1
131432,1
131442,1
131453,2
131463,0
131474,1
